time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-03-05 00:00:00+00:00,0,0,1,1
2025-03-07 00:00:00+00:00,1,1,2,1
2025-03-09 00:00:00+00:00,1,1,0,0
2025-03-11 00:00:00+00:00,1,1,6,1
2025-03-12 00:00:00+00:00,0,0,1,1
2025-03-13 00:00:00+00:00,0,0,1,1
2025-03-16 00:00:00+00:00,1,1,0,0
2025-03-17 00:00:00+00:00,0,0,7,2
2025-03-18 00:00:00+00:00,8,2,54,3
2025-03-19 00:00:00+00:00,1,1,1,1
2025-03-20 00:00:00+00:00,1,1,4,1
2025-03-21 00:00:00+00:00,0,0,5,1
2025-03-24 00:00:00+00:00,3,2,9,4
2025-03-25 00:00:00+00:00,10,2,26,3
2025-03-28 00:00:00+00:00,0,0,2,1
2025-03-30 00:00:00+00:00,2,2,0,0
2025-04-05 00:00:00+00:00,1,1,4,1
2025-04-09 00:00:00+00:00,1,1,0,0
2025-04-10 00:00:00+00:00,1,1,0,0
2025-04-23 00:00:00+00:00,1,1,0,0
2025-05-08 00:00:00+00:00,3,1,24,2
2025-05-09 00:00:00+00:00,0,0,17,1
2025-06-11 00:00:00+00:00,1,1,1,1
2025-06-20 00:00:00+00:00,1,1,0,0
2025-06-23 00:00:00+00:00,0,0,5,1
2025-06-26 00:00:00+00:00,0,0,11,1
2025-07-22 00:00:00+00:00,0,0,2,1
2025-08-27 00:00:00+00:00,1,1,0,0
2025-09-10 00:00:00+00:00,1,1,0,0
2025-09-13 00:00:00+00:00,1,1,0,0
2025-09-19 00:00:00+00:00,1,1,0,0
2025-09-25 00:00:00+00:00,2,2,0,0
2025-09-30 00:00:00+00:00,1,1,0,0
2025-10-24 00:00:00+00:00,1,1,0,0
2025-11-03 00:00:00+00:00,1,1,0,0
2025-11-04 00:00:00+00:00,1,1,0,0
2025-11-30 00:00:00+00:00,1,1,0,0
2025-12-05 00:00:00+00:00,0,0,0,0
2025-12-06 00:00:00+00:00,1,1,0,0
2025-12-07 00:00:00+00:00,1,1,0,0
2025-12-08 00:00:00+00:00,0,0,0,0
2025-12-09 00:00:00+00:00,0,0,0,0
2025-12-10 00:00:00+00:00,0,0,0,0
2025-12-11 00:00:00+00:00,0,0,0,0
2025-12-12 00:00:00+00:00,0,0,0,0
2025-12-13 00:00:00+00:00,0,0,0,0
2025-12-14 00:00:00+00:00,0,0,0,0
2025-12-15 00:00:00+00:00,0,0,0,0
2025-12-16 00:00:00+00:00,0,0,0,0
2025-12-17 00:00:00+00:00,0,0,0,0
2025-12-18 00:00:00+00:00,0,0,0,0
2025-12-26 00:00:00+00:00,0,0,0,0
2025-12-27 00:00:00+00:00,0,0,0,0
2025-12-28 00:00:00+00:00,0,0,0,0
2025-12-29 00:00:00+00:00,0,0,0,0
2025-12-30 00:00:00+00:00,0,0,0,0
2025-12-31 00:00:00+00:00,0,0,0,0
2026-01-01 00:00:00+00:00,0,0,0,0
2026-01-02 00:00:00+00:00,0,0,0,0
2026-01-03 00:00:00+00:00,0,0,0,0
2026-01-04 00:00:00+00:00,0,0,0,0
2026-01-05 00:00:00+00:00,0,0,0,0
2026-01-06 00:00:00+00:00,0,0,0,0
2026-01-07 00:00:00+00:00,0,0,0,0
2026-01-08 00:00:00+00:00,2,2,0,0
2026-01-09 00:00:00+00:00,0,0,0,0
2026-01-10 00:00:00+00:00,0,0,0,0
2026-01-11 00:00:00+00:00,0,0,0,0
2026-01-12 00:00:00+00:00,0,0,0,0
